ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
1167,Dimasa,India,IND,dis,Vulnerable,,,112000.0,24.7368,92.9003
1179,Ladakhi,China,CHN,cna,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,China,CHN,lbj,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,China,CHN,tkk,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,China,IND,cna,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,China,IND,lbj,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,China,IND,tkk,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,India,CHN,cna,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,India,CHN,lbj,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,India,CHN,tkk,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,India,IND,cna,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,India,IND,lbj,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1179,Ladakhi,India,IND,tkk,Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909
1429,Salar,China,CHN,slr,Vulnerable,,,104503.0,36.2752,102.4584
1136,Simi,India,IND,nsm,Vulnerable,"Sumi, Sema",,104000.0,25.9777,94.5922
904,Phurhepecha,Mexico,MEX,tsz,Vulnerable,"Purépecha, Tarasco, Porhé",,102988.0,19.3111,-102.041
342,Crimean Tatar (Crimea),Ukraine,UKR,crh,Severely endangered,крымскотатарский (ru),,100000.0,45.3212,34.3212
342,Crimean Tatar (Crimea),Ukraine,UKR,jct,Severely endangered,крымскотатарский (ru),,100000.0,45.3212,34.3212
451,Dagur (Nonni),China,CHN,dta,Definitely endangered,Daur; дагурский,,100000.0,47.9163,124.1235
366,Francoprovençal,France,FRA,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,France,ITA,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,France,CHE,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,Italy,FRA,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,Italy,ITA,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,Italy,CHE,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,Switzerland,FRA,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,Switzerland,ITA,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
366,Francoprovençal,Switzerland,CHE,frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982
356,Gallurese,Italy,ITA,sdn,Definitely endangered,Gallurese Sardinian,,100000.0,40.8802,9.4482
1754,Mapuche (Argentina),Argentina,ARG,arn,Severely endangered,"Mapuche, Araucano, Maputongo, Mapudungu",,100000.0,-40.0791,-71.0156
1620,Mehri,Oman,OMN,gdq,Definitely endangered,"Mahri, Mehriyet, Mehriyot, Mehriye",,100000.0,16.5993,52.8057
1620,Mehri,Oman,YEM,gdq,Definitely endangered,"Mahri, Mehriyet, Mehriyot, Mehriye",,100000.0,16.5993,52.8057
1620,Mehri,Yemen,OMN,gdq,Definitely endangered,"Mahri, Mehriyet, Mehriyot, Mehriye",,100000.0,16.5993,52.8057
1620,Mehri,Yemen,YEM,gdq,Definitely endangered,"Mahri, Mehriyet, Mehriyot, Mehriye",,100000.0,16.5993,52.8057
1891,Miskito (Nicaragua),Nicaragua,NIC,,Vulnerable,,,100000.0,12.4001,-83.7332
